Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Transfer_fee
Roberto Soldado,Centre-Forward,25,Getafe CF,LaLiga,Valencia CF,LaLiga,2010-2011,10000000
Sandro,Defensive Midfield,21,Internacional,Série A,Spurs,Premier League,2010-2011,10000000
Pedro León,Right Winger,23,Getafe CF,LaLiga,Real Madrid,LaLiga,2010-2011,10000000
Stephen Ireland,Attacking Midfield,24,Man City,Premier League,Aston Villa,Premier League,2010-2011,9700000
Kenwyne Jones,Centre-Forward,25,Sunderland,Premier League,Stoke City,Premier League,2010-2011,9700000
Adriano,Left-Back,25,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2010-2011,9500000
Miguel Veloso,Defensive Midfield,24,Sporting CP,Liga NOS,Genoa,Serie A,2010-2011,9000000
Bebé,Left Winger,20,Vit. Guimarães,Liga NOS,Man Utd,Premier League,2010-2011,8800000
Sergio Floccari,Centre-Forward,28,Genoa,Serie A,Lazio,Serie A,2010-2011,8500000
Víctor Ruiz,Centre-Back,21,Espanyol,LaLiga,SSC Napoli,Serie A,2010-2011,8500000
Ricardo Carvalho,Centre-Back,32,Chelsea,Premier League,Real Madrid,LaLiga,2010-2011,8000000
Rafinha,Right-Back,24,FC Schalke 04,1.Bundesliga,Genoa,Serie A,2010-2011,8000000
Diego Godín,Centre-Back,24,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,2010-2011,8000000
Nicolás Burdisso,Centre-Back,29,Inter,Serie A,AS Roma,Serie A,2010-2011,8000000
Chris Smalling,Centre-Back,20,Fulham,Premier League,Man Utd,Premier League,2010-2011,8000000
Chicharito,Centre-Forward,22,Chivas,Liga MX Clausura,Man Utd,Premier League,2010-2011,7500000
Steven Fletcher,Centre-Forward,23,Burnley,Championship,Wolves,Premier League,2010-2011,7200000
Yossi Benayoun,Right Winger,30,Liverpool,Premier League,Chelsea,Premier League,2010-2011,7000000
Stéphane Sessègnon,Attacking Midfield,26,Paris SG,Ligue 1,Sunderland,Premier League,2010-2011,7000000
Nikola Zigic,Centre-Forward,29,Valencia CF,LaLiga,Birmingham,Premier League,2010-2011,7000000
Dieumerci Mbokani,Centre-Forward,24,Standard Liège,Jupiler Pro League,Monaco,Ligue 1,2010-2011,7000000
Jonathan Biabiany,Right Winger,22,Inter,Serie A,Sampdoria,Serie A,2010-2011,7000000
Elias,Central Midfield,25,Corinthians,Série A,Atlético Madrid,LaLiga,2010-2011,7000000
Blerim Dzemaili,Central Midfield,24,Torino,Serie B,Parma,Serie A,2010-2011,7000000
Luca Antonelli,Left-Back,23,Parma,Serie A,Genoa,Serie A,2010-2011,7000000
Ben Foster,Goalkeeper,27,Man Utd,Premier League,Birmingham,Premier League,2010-2011,7000000
Andrea Rispoli,Right-Back,21,Brescia,Serie A,Parma,Serie A,2010-2011,7000000
Sébastien Squillaci,Centre-Back,30,Sevilla FC,LaLiga,Arsenal,Premier League,2010-2011,6500000
Tino Costa,Central Midfield,25,Montpellier,Ligue 1,Valencia CF,LaLiga,2010-2011,6500000
Víctor Montaño,Centre-Forward,26,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2010-2011,6500000
Mattia Destro,Centre-Forward,19,Inter U19,Primavera B,Genoa,Serie A,2010-2011,6500000
Felipe,Centre-Back,25,Udinese Calcio,Serie A,Fiorentina,Serie A,2010-2011,6300000
Jean II Makoun,Defensive Midfield,27,Olympique Lyon,Ligue 1,Aston Villa,Premier League,2010-2011,6200000
Jimmy Briand,Centre-Forward,24,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2010-2011,6000000
Mousa Dembélé,Central Midfield,23,AZ Alkmaar,Eredivisie,Fulham,Premier League,2010-2011,6000000
Raffaele Palladino,Left Winger,26,Genoa,Serie A,Parma,Serie A,2010-2011,6000000
Hatem Ben Arfa,Attacking Midfield,23,Marseille,Ligue 1,Newcastle,Premier League,2010-2011,6000000
César Azpilicueta,Right-Back,20,CA Osasuna,LaLiga,Marseille,Ligue 1,2010-2011,6000000
Abdoulay Konko,Right-Back,26,Sevilla FC,LaLiga,Genoa,Serie A,2010-2011,6000000
Sergio Canales,Attacking Midfield,19,Racing,LaLiga,Real Madrid,LaLiga,2010-2011,6000000
Tomas Kalas,Centre-Back,17,Sigma Olomouc,HET Liga,Chelsea,Premier League,2010-2011,6000000
Kevin-Prince Boateng,Central Midfield,23,Portsmouth,Championship,Genoa,Serie A,2010-2011,5700000
Mehmet Topal,Defensive Midfield,24,Galatasaray,Süper Lig,Valencia CF,LaLiga,2010-2011,5500000
Tiberio Guarente,Central Midfield,24,Atalanta,Serie B,Sevilla FC,LaLiga,2010-2011,5500000
Christian Poulsen,Defensive Midfield,30,Juventus,Serie A,Liverpool,Premier League,2010-2011,5480000
Nicola Pozzi,Centre-Forward,24,FC Empoli,Serie B,Sampdoria,Serie A,2010-2011,5200000
Mauricio Pinilla,Centre-Forward,26,Grosseto,Serie B,US Palermo,Serie A,2010-2011,5100000
Nenê,Attacking Midfield,29,Monaco,Ligue 1,Paris SG,Ligue 1,2010-2011,5000000
Alexis,Centre-Back,25,Valencia CF,LaLiga,Sevilla FC,LaLiga,2010-2011,5000000
Razak Boukari,Right Winger,23,Lens,Ligue 1,Stade Rennais,Ligue 1,2010-2011,5000000
Anders Lindegaard,Goalkeeper,26,Aalesund,Eliteserien,Man Utd,Premier League,2010-2011,5000000
Chico,Centre-Back,23,UD Almería,LaLiga,Genoa,Serie A,2010-2011,5000000
Ezequiel Muñoz,Centre-Back,19,Boca Juniors,Torneo Final,US Palermo,Serie A,2010-2011,5000000
Pablo González,Centre-Forward,25,Novara,Serie B,US Palermo,Serie A,2010-2011,5000000
Pablo Barrera,Right Winger,23,UNAM Pumas,Liga MX Clausura,West Ham,Premier League,2010-2011,4800000
Jean Beausejour,Left-Back,26,América,Liga MX Clausura,Birmingham,Premier League,2010-2011,4800000
Daniel Osvaldo,Centre-Forward,24,Bologna,Serie A,Espanyol,LaLiga,2010-2011,4600000
Gaetano D'Agostino,Central Midfield,28,Udinese Calcio,Serie A,Fiorentina,Serie A,2010-2011,4500000
Barreto,Second Striker,24,Udinese Calcio,Serie A,Bari,Serie A,2010-2011,4500000
Eduardo,Goalkeeper,27,Braga,Liga NOS,Genoa,Serie A,2010-2011,4500000
Fahid Ben Khalfallah,Right Winger,27,Valenciennes FC,Ligue 1,G. Bordeaux,Ligue 1,2010-2011,4500000
Sokratis,Centre-Back,22,Genoa,Serie A,AC Milan,Serie A,2010-2011,4500000
Marco Storari,Goalkeeper,33,AC Milan,Serie A,Juventus,Serie A,2010-2011,4500000
Massimo Maccarone,Centre-Forward,30,Siena,Serie B,US Palermo,Serie A,2010-2011,4400000
Alberto Paloschi,Centre-Forward,21,Genoa,Serie A,AC Milan,Serie A,2010-2011,4350000
Aritz Aduriz,Centre-Forward,29,RCD Mallorca,LaLiga,Valencia CF,LaLiga,2010-2011,4300000
Cheik Tioté,Defensive Midfield,24,FC Twente,Eredivisie,Newcastle,Premier League,2010-2011,4280000
Juanfran,Right-Back,25,CA Osasuna,LaLiga,Atlético Madrid,LaLiga,2010-2011,4250000
Jonathan Biabiany,Right Winger,22,Parma,Serie A,Inter,Serie A,2010-2011,4200000
Éder,Second Striker,23,FC Empoli,Serie B,Brescia,Serie A,2010-2011,4200000
Winston Reid,Centre-Back,22,FC Midtjylland,Superligaen,West Ham,Premier League,2010-2011,4200000
Federico Rodríguez,Centre-Forward,19,Peñarol,Primera División,Genoa,Serie A,2010-2011,4200000
Rod Fanni,Right-Back,29,Stade Rennais,Ligue 1,Marseille,Ligue 1,2010-2011,4000000
Onyekachi Apam,Centre-Back,23,OGC Nice,Ligue 1,Stade Rennais,Ligue 1,2010-2011,4000000
Curtis Davies,Centre-Back,25,Aston Villa,Premier League,Birmingham,Premier League,2010-2011,4000000
Paul Konchesky,Left-Back,29,Fulham,Premier League,Liverpool,Premier League,2010-2011,4000000
Ronnie Stam,Right-Back,26,FC Twente,Eredivisie,Wigan,Premier League,2010-2011,4000000
Mauro Formica,Attacking Midfield,22,Newell's,Torneo Final,Blackburn,Premier League,2010-2011,4000000
Alessio Cerci,Right Winger,23,AS Roma,Serie A,Fiorentina,Serie A,2010-2011,4000000
Juraj Kucka,Central Midfield,23,Sparta Praha,HET Liga,Genoa,Serie A,2010-2011,4000000
Dídac Vilà,Left-Back,21,Espanyol,LaLiga,AC Milan,Serie A,2010-2011,4000000
Wellington Silva,Right Winger,18,Fluminense,Série A,Arsenal,Premier League,2010-2011,4000000
Lorenzo Ariaudo,Centre-Back,21,Juventus,Serie A,Cagliari Calcio,Serie A,2010-2011,3800000
Mauro Boselli,Centre-Forward,25,Estudiantes,Torneo Final,Wigan,Premier League,2010-2011,3700000
Steven Pienaar,Left Winger,28,Everton,Premier League,Spurs,Premier League,2010-2011,3600000
Stephen Hunt,Left Midfield,28,Hull City,Championship,Wolves,Premier League,2010-2011,3600000
Sebastián Fernández,Second Striker,25,CA Banfield,Torneo Final,Málaga CF,LaLiga,2010-2011,3600000
Marc Wilson,Centre-Back,23,Portsmouth,Championship,Stoke City,Premier League,2010-2011,3600000
Nelson Valdez,Centre-Forward,26,Bor. Dortmund,1.Bundesliga,Hércules CF,LaLiga,2010-2011,3500000
Anthony Modeste,Centre-Forward,22,OGC Nice,Ligue 1,G. Bordeaux,Ligue 1,2010-2011,3500000
Neto,Goalkeeper,21,Atlético-PR,Série A,Fiorentina,Serie A,2010-2011,3500000
Alan,Centre-Forward,21,Desp. Brasil, Brazil,RB Salzburg,Bundesliga,2010-2011,3500000
José Salomón Rondón,Centre-Forward,20,UD Las Palmas,LaLiga2,Málaga CF,LaLiga,2010-2011,3500000
Gastón Ramírez,Attacking Midfield,19,Peñarol,Primera División,Bologna,Serie A,2010-2011,3360000
Jonathan Walters,Right Winger,26,Ipswich,Championship,Stoke City,Premier League,2010-2011,3300000
Jelle Van Damme,Left-Back,26,RSC Anderlecht,Jupiler Pro League,Wolves,Premier League,2010-2011,3250000
Giuseppe Sculli,Left Winger,29,Genoa,Serie A,Lazio,Serie A,2010-2011,3000000
Ibrahim Afellay,Left Midfield,24,PSV Eindhoven,Eredivisie,FC Barcelona,LaLiga,2010-2011,3000000
Peter Odemwingie,Right Winger,29,Loko Moscow,Premier Liga,West Brom,Premier League,2010-2011,3000000
Javier Pastore,Attacking Midfield,22,US Palermo,Serie A,Paris SG,Ligue 1,2011-2012,42000000
Sergio Agüero,Centre-Forward,23,Atlético Madrid,LaLiga,Man City,Premier League,2011-2012,40000000
Falcao,Centre-Forward,25,FC Porto,Liga NOS,Atlético Madrid,LaLiga,2011-2012,40000000
Cesc Fàbregas,Central Midfield,24,Arsenal,Premier League,FC Barcelona,LaLiga,2011-2012,34000000
Fábio Coentrão,Left-Back,23,Benfica,Liga NOS,Real Madrid,LaLiga,2011-2012,30000000
Samir Nasri,Left Winger,24,Arsenal,Premier League,Man City,Premier League,2011-2012,27500000
Juan Mata,Attacking Midfield,23,Valencia CF,LaLiga,Chelsea,Premier League,2011-2012,26700000
Alexis Sánchez,Left Winger,22,Udinese Calcio,Serie A,FC Barcelona,LaLiga,2011-2012,26000000
David de Gea,Goalkeeper,20,Atlético Madrid,LaLiga,Man Utd,Premier League,2011-2012,25000000
Zlatan Ibrahimovic,Centre-Forward,29,FC Barcelona,LaLiga,AC Milan,Serie A,2011-2012,24000000
Santi Cazorla,Central Midfield,26,Villarreal CF,LaLiga,Málaga CF,LaLiga,2011-2012,23000000
Stewart Downing,Left Midfield,26,Aston Villa,Premier League,Liverpool,Premier League,2011-2012,22800000
Phil Jones,Centre-Back,19,Blackburn,Premier League,Man Utd,Premier League,2011-2012,19300000
Ashley Young,Left Midfield,25,Aston Villa,Premier League,Man Utd,Premier League,2011-2012,18000000
Gökhan Inler,Defensive Midfield,27,Udinese Calcio,Serie A,SSC Napoli,Serie A,2011-2012,18000000
Jordan Henderson,Central Midfield,21,Sunderland,Premier League,Liverpool,Premier League,2011-2012,18000000
Érik Lamela,Right Winger,19,River Plate,Primera B Nacional,AS Roma,Serie A,2011-2012,17000000
Daniel Osvaldo,Centre-Forward,25,Espanyol,LaLiga,AS Roma,Serie A,2011-2012,16000000
Alessandro Matri,Centre-Forward,26,Cagliari Calcio,Serie A,Juventus,Serie A,2011-2012,15500000
Stephan El Shaarawy,Left Winger,18,Genoa,Serie A,AC Milan,Serie A,2011-2012,15500000
Mirko Vucinic,Second Striker,27,AS Roma,Serie A,Juventus,Serie A,2011-2012,15000000
Romelu Lukaku,Centre-Forward,18,RSC Anderlecht,Jupiler Pro League,Chelsea,Premier League,2011-2012,15000000
Alex Oxlade-Chamberlain,Right Midfield,17,Southampton,Championship,Arsenal,Premier League,2011-2012,13800000
Raúl Meireles,Central Midfield,28,Liverpool,Premier League,Chelsea,Premier League,2011-2012,13500000
Pizzi,Central Midfield,22,Braga,Liga NOS,Atlético Madrid,LaLiga,2011-2012,13500000
Eduardo Vargas,Centre-Forward,22,U. de Chile,Primera División,SSC Napoli,Serie A,2011-2012,13500000
Arda Turan,Left Winger,24,Galatasaray,Süper Lig,Atlético Madrid,LaLiga,2011-2012,13000000
Arturo Vidal,Central Midfield,24,Bay. Leverkusen,1.Bundesliga,Juventus,Serie A,2011-2012,12500000
Edinson Cavani,Centre-Forward,24,US Palermo,Serie A,SSC Napoli,Serie A,2011-2012,12000000
Gervinho,Left Winger,24,LOSC Lille,Ligue 1,Arsenal,Premier League,2011-2012,12000000
Mikel Arteta,Central Midfield,29,Everton,Premier League,Arsenal,Premier League,2011-2012,12000000
Bojan Krkic,Second Striker,20,FC Barcelona,LaLiga,AS Roma,Serie A,2011-2012,12000000
Papiss Demba Cissé,Centre-Forward,26,SC Freiburg,1.Bundesliga,Newcastle,Premier League,2011-2012,12000000
Bryan Ruíz,Left Midfield,26,FC Twente,Eredivisie,Fulham,Premier League,2011-2012,12000000
Stefan Savic,Centre-Back,20,Partizan,SuperLiga,Man City,Premier League,2011-2012,12000000
Thiago Motta,Defensive Midfield,29,Inter,Serie A,Paris SG,Ligue 1,2011-2012,11500000
Per Mertesacker,Centre-Back,26,Werder Bremen,1.Bundesliga,Arsenal,Premier League,2011-2012,11300000
Peter Crouch,Centre-Forward,30,Spurs,Premier League,Stoke City,Premier League,2011-2012,11300000
Jérémy Toulalan,Defensive Midfield,27,Olympique Lyon,Ligue 1,Málaga CF,LaLiga,2011-2012,11000000
Kévin Gameiro,Centre-Forward,24,FC Lorient,Ligue 1,Paris SG,Ligue 1,2011-2012,11000000
Miralem Pjanic,Central Midfield,21,Olympique Lyon,Ligue 1,AS Roma,Serie A,2011-2012,11000000
Charles N'Zogbia,Right Winger,25,Wigan,Premier League,Aston Villa,Premier League,2011-2012,10800000
Fabio Quagliarella,Centre-Forward,28,SSC Napoli,Serie A,Juventus,Serie A,2011-2012,10500000
Ricardo Álvarez,Attacking Midfield,23,Vélez Sarsfield,Torneo Final,Inter,Serie A,2011-2012,10500000
Nuri Sahin,Defensive Midfield,22,Bor. Dortmund,1.Bundesliga,Real Madrid,LaLiga,2011-2012,10000000
Marco Borriello,Centre-Forward,29,AC Milan,Serie A,AS Roma,Serie A,2011-2012,10000000
Raphaël Varane,Centre-Back,18,Lens,Ligue 2,Real Madrid,LaLiga,2011-2012,10000000
Stephan Lichtsteiner,Right-Back,27,Lazio,Serie A,Juventus,Serie A,2011-2012,9930000
Wilson Palacios,Defensive Midfield,26,Spurs,Premier League,Stoke City,Premier League,2011-2012,9000000
Eljero Elia,Left Winger,24,Hamburger SV,1.Bundesliga,Juventus,Serie A,2011-2012,9000000
Cristián Zapata,Centre-Back,24,Udinese Calcio,Serie A,Villarreal CF,LaLiga,2011-2012,9000000
Dimitri Payet,Attacking Midfield,24,Saint-Étienne,Ligue 1,LOSC Lille,Ligue 1,2011-2012,9000000
Sébastien Frey,Goalkeeper,31,Fiorentina,Serie A,Genoa,Serie A,2011-2012,9000000
Blerim Dzemaili,Central Midfield,25,Parma,Serie A,SSC Napoli,Serie A,2011-2012,9000000
Connor Wickham,Centre-Forward,18,Ipswich,Championship,Sunderland,Premier League,2011-2012,9000000
Miguel Britos,Centre-Back,26,Bologna,Serie A,SSC Napoli,Serie A,2011-2012,9000000
Thibaut Courtois,Goalkeeper,19,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,8950000
Roberto,Goalkeeper,25,Benfica,Liga NOS,Real Zaragoza,LaLiga,2011-2012,8600000
Emiliano Viviano,Goalkeeper,26,Inter,Serie A,US Palermo,Serie A,2011-2012,8500000
Gary Cahill,Centre-Back,26,Bolton,Premier League,Chelsea,Premier League,2011-2012,8400000
Charlie Adam,Central Midfield,25,Blackpool,Championship,Liverpool,Premier League,2011-2012,8400000
Alberto Gilardino,Centre-Forward,29,Fiorentina,Serie A,Genoa,Serie A,2011-2012,8000000
Jérémy Ménez,Second Striker,24,AS Roma,Serie A,Paris SG,Ligue 1,2011-2012,8000000
Kevin De Bruyne,Attacking Midfield,20,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,8000000
Víctor Ruiz,Centre-Back,22,SSC Napoli,Serie A,Valencia CF,LaLiga,2011-2012,8000000
Blaise Matuidi,Central Midfield,24,Saint-Étienne,Ligue 1,Paris SG,Ligue 1,2011-2012,8000000
José Enrique,Left-Back,25,Newcastle,Premier League,Liverpool,Premier League,2011-2012,8000000
Sílvio,Right-Back,23,Braga,Liga NOS,Atlético Madrid,LaLiga,2011-2012,8000000
Mohamed Sissoko,Defensive Midfield,26,Juventus,Serie A,Paris SG,Ligue 1,2011-2012,8000000
Roger Johnson,Centre-Back,28,Birmingham,Championship,Wolves,Premier League,2011-2012,8000000
Jonathan de Guzmán,Central Midfield,23,RCD Mallorca,LaLiga,Villarreal CF,LaLiga,2011-2012,8000000
Nolan Roux,Centre-Forward,23,Stade Brest 29,Ligue 1,LOSC Lille,Ligue 1,2011-2012,8000000
Matías Silvestre,Centre-Back,26,Catania,Serie A,US Palermo,Serie A,2011-2012,8000000
Sebastián Coates,Centre-Back,20,Nacional,Primera División,Liverpool,Premier League,2011-2012,8000000
Gaël Clichy,Left-Back,25,Arsenal,Premier League,Man City,Premier League,2011-2012,7750000
Fabio Borini,Left Winger,20,Parma,Serie A,AS Roma,Serie A,2011-2012,7600000
Kevin-Prince Boateng,Central Midfield,24,Genoa,Serie A,AC Milan,Serie A,2011-2012,7500000
Simone Pepe,Right Winger,27,Udinese Calcio,Serie A,Juventus,Serie A,2011-2012,7500000
Pablo Piatti,Left Winger,22,UD Almería,LaLiga2,Valencia CF,LaLiga,2011-2012,7500000
Lucas Piazón,Left Winger,18,FC São Paulo B, Brazil,Chelsea,Premier League,2011-2012,7500000
Ander Herrera,Central Midfield,21,Real Zaragoza,LaLiga,Athletic Bilbao,LaLiga,2011-2012,7500000
Maarten Stekelenburg,Goalkeeper,28,AFC Ajax,Eredivisie,AS Roma,Serie A,2011-2012,7330000
Emanuele Giaccherini,Left Winger,26,RC Cesena,Serie A,Juventus,Serie A,2011-2012,7250000
André Santos,Attacking Midfield,28,Fenerbahce,Süper Lig,Arsenal,Premier League,2011-2012,7000000
Kévin Constant,Defensive Midfield,24,Chievo Verona,Serie A,Genoa,Serie A,2011-2012,7000000
Scott Dann,Centre-Back,24,Birmingham,Championship,Blackburn,Premier League,2011-2012,6800000
Mevlüt Erdinc,Centre-Forward,24,Paris SG,Ligue 1,Stade Rennais,Ligue 1,2011-2012,6600000
Nikica Jelavic,Centre-Forward,26,Rangers,Premiership,Everton,Premier League,2011-2012,6600000
Craig Gardner,Central Midfield,24,Birmingham,Championship,Sunderland,Premier League,2011-2012,6600000
Ju-yeong Park,Centre-Forward,26,Monaco,Ligue 2,Arsenal,Premier League,2011-2012,6500000
Alexander Merkel,Central Midfield,19,AC Milan,Serie A,Genoa,Serie A,2011-2012,6500000
Scott Parker,Central Midfield,30,West Ham,Championship,Spurs,Premier League,2011-2012,6200000
Borja Valero,Central Midfield,26,West Brom,Premier League,Villarreal CF,LaLiga,2011-2012,6000000
Adil Rami,Centre-Back,25,LOSC Lille,Ligue 1,Valencia CF,LaLiga,2011-2012,6000000
Dani Parejo,Central Midfield,22,Getafe CF,LaLiga,Valencia CF,LaLiga,2011-2012,6000000
Nacho Monreal,Left-Back,25,CA Osasuna,LaLiga,Málaga CF,LaLiga,2011-2012,6000000
Emmanuel Rivière,Centre-Forward,21,Saint-Étienne,Ligue 1,Toulouse,Ligue 1,2011-2012,6000000
Isco,Attacking Midfield,19,Valencia B,2ª B - Grupo III,Málaga CF,LaLiga,2011-2012,6000000
Djibril Cissé,Centre-Forward,29,Panathinaikos,Super League,Lazio,Serie A,2011-2012,5800000
Bobby Zamora,Centre-Forward,31,Fulham,Premier League,QPR,Premier League,2011-2012,5800000
Davide Santon,Left-Back,20,Inter,Serie A,Newcastle,Premier League,2011-2012,5650000
Maxi Moralez,Attacking Midfield,24,Vélez Sarsfield,Torneo Final,Atalanta,Serie A,2011-2012,5300000
Édgar Barreto,Central Midfield,27,Atalanta,Serie A,US Palermo,Serie A,2011-2012,5300000
Federico Marchetti,Goalkeeper,28,Cagliari Calcio,Serie A,Lazio,Serie A,2011-2012,5200000
Shane Long,Centre-Forward,24,Reading,Championship,West Brom,Premier League,2011-2012,5100000
Alex,Centre-Back,29,Chelsea,Premier League,Paris SG,Ligue 1,2011-2012,5000000
Alou Diarra,Defensive Midfield,29,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2011-2012,5000000
Yohan Cabaye,Central Midfield,25,LOSC Lille,Ligue 1,Newcastle,Premier League,2011-2012,5000000
Diego Forlán,Second Striker,32,Atlético Madrid,LaLiga,Inter,Serie A,2011-2012,5000000
José Callejón,Right Winger,24,Espanyol,LaLiga,Real Madrid,LaLiga,2011-2012,5000000
Djibril Cissé,Centre-Forward,30,Lazio,Serie A,QPR,Premier League,2011-2012,5000000
Ikechukwu Uche,Centre-Forward,27,Real Zaragoza,LaLiga,Villarreal CF,LaLiga,2011-2012,5000000
Rúben Micael,Attacking Midfield,24,FC Porto,Liga NOS,Atlético Madrid,LaLiga,2011-2012,5000000
Gabriel Torje,Right Winger,21,Dinamo Bukarest,Liga 1,Udinese Calcio,Serie A,2011-2012,5000000
Jonathan,Right-Back,25,Santos FC,Série A,Inter,Serie A,2011-2012,5000000
Éder,Second Striker,24,Brescia,Serie B,RC Cesena,Serie A,2011-2012,5000000
Simone Padoin,Central Midfield,27,Atalanta,Serie A,Juventus,Serie A,2011-2012,5000000
Alessandro Diamanti,Second Striker,28,Brescia,Serie B,Bologna,Serie A,2011-2012,4860000
Nedum Onuoha,Centre-Back,25,Man City,Premier League,QPR,Premier League,2011-2012,4700000
Jean Beausejour,Left-Back,27,Birmingham,Championship,Wigan,Premier League,2011-2012,4700000
Oriol Romeu,Defensive Midfield,19,FC Barcelona B,LaLiga2,Chelsea,Premier League,2011-2012,4600000
Yuto Nagatomo,Left-Back,24,RC Cesena,Serie A,Inter,Serie A,2011-2012,4500000
Shaun Wright-Phillips,Right Winger,29,Man City,Premier League,QPR,Premier League,2011-2012,4500000
Alan Hutton,Right-Back,26,Spurs,Premier League,Aston Villa,Premier League,2011-2012,4500000
John O'Shea,Centre-Back,30,Man Utd,Premier League,Sunderland,Premier League,2011-2012,4500000
Andrea Lazzari,Central Midfield,26,Cagliari Calcio,Serie A,Fiorentina,Serie A,2011-2012,4500000
Manu del Moral,Centre-Forward,27,Getafe CF,LaLiga,Sevilla FC,LaLiga,2011-2012,4500000
David N'Gog,Centre-Forward,22,Liverpool,Premier League,Bolton,Premier League,2011-2012,4500000
Cameron Jerome,Centre-Forward,25,Birmingham,Championship,Stoke City,Premier League,2011-2012,4500000
Pape Diakhaté,Centre-Back,27,Dynamo Kyiv,Premier Liga,Granada CF,LaLiga,2011-2012,4500000
Zé Love,Second Striker,23,Santos FC,Série A,Genoa,Serie A,2011-2012,4500000
José Ángel,Left-Back,21,Sporting Gijón,LaLiga,AS Roma,Serie A,2011-2012,4500000
Diego Buonanotte,Attacking Midfield,23,River Plate,Primera B Nacional,Málaga CF,LaLiga,2011-2012,4500000
Franco Vázquez,Attacking Midfield,22,Belgrano,Torneo Final,US Palermo,Serie A,2011-2012,4500000
Ali Al-Habsi,Goalkeeper,29,Bolton,Premier League,Wigan,Premier League,2011-2012,4300000
Joaquín,Right Winger,29,Valencia CF,LaLiga,Málaga CF,LaLiga,2011-2012,4200000
Emiliano Viviano,Goalkeeper,25,Bologna,Serie A,Inter,Serie A,2011-2012,4100000
Abdoulay Konko,Right-Back,27,Genoa,Serie A,Lazio,Serie A,2011-2012,4000000
Julien Féret,Central Midfield,29,AS Nancy,Ligue 1,Stade Rennais,Ligue 1,2011-2012,4000000
Sokratis,Centre-Back,23,AC Milan,Serie A,Genoa,Serie A,2011-2012,4000000
Gabriel Silva,Left-Back,20,Palmeiras,Série A,Granada CF,LaLiga,2011-2012,4000000
Marco Rossi,Centre-Back,23,Parma,Serie A,RC Cesena,Serie A,2011-2012,4000000
Salvatore Sirigu,Goalkeeper,24,US Palermo,Serie A,Paris SG,Ligue 1,2011-2012,3900000
Danny Graham,Centre-Forward,25,Watford,Championship,Swansea,Premier League,2011-2012,3900000
Ryan Bennett,Centre-Back,21,Peterborough,Championship,Norwich,Premier League,2011-2012,3850000
Umut Bulut,Centre-Forward,28,Trabzonspor,Süper Lig,Toulouse,Ligue 1,2011-2012,3800000
Juan Jesus,Centre-Back,20,Internacional,Série A,Inter,Serie A,2011-2012,3800000
Shay Given,Goalkeeper,35,Man City,Premier League,Aston Villa,Premier League,2011-2012,3750000
Jamie O'Hara,Central Midfield,24,Spurs,Premier League,Wolves,Premier League,2011-2012,3750000
Marco Motta,Right-Back,25,Udinese Calcio,Serie A,Juventus,Serie A,2011-2012,3750000
Marvin Sordell,Centre-Forward,20,Watford,Championship,Bolton,Premier League,2011-2012,3600000
José Antonio Reyes,Right Winger,28,Atlético Madrid,LaLiga,Sevilla FC,LaLiga,2011-2012,3500000
Maxwell,Left-Back,30,FC Barcelona,LaLiga,Paris SG,Ligue 1,2011-2012,3500000
Barreto,Second Striker,25,Bari,Serie B,Udinese Calcio,Serie A,2011-2012,3500000
Nicolas N'Koulou,Centre-Back,21,Monaco,Ligue 2,Marseille,Ligue 1,2011-2012,3500000
Jonathan Pitroipa,Right Winger,25,Hamburger SV,1.Bundesliga,Stade Rennais,Ligue 1,2011-2012,3500000
Thiago Silva,Centre-Back,27,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,42000000
Lucas Moura,Right Winger,20,São Paulo,Série A,Paris SG,Ligue 1,2012-2013,40000000
Eden Hazard,Left Winger,21,LOSC Lille,Ligue 1,Chelsea,Premier League,2012-2013,35000000
Oscar,Attacking Midfield,20,Internacional,Série A,Chelsea,Premier League,2012-2013,32000000
Robin van Persie,Centre-Forward,29,Arsenal,Premier League,Man Utd,Premier League,2012-2013,30700000
Luka Modric,Central Midfield,26,Spurs,Premier League,Real Madrid,LaLiga,2012-2013,30000000
Ezequiel Lavezzi,Second Striker,27,SSC Napoli,Serie A,Paris SG,Ligue 1,2012-2013,28950000
Zlatan Ibrahimovic,Centre-Forward,30,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,21000000
Javi García,Defensive Midfield,25,Benfica,Liga NOS,Man City,Premier League,2012-2013,20200000
Mario Balotelli,Centre-Forward,22,Man City,Premier League,AC Milan,Serie A,2012-2013,20000000
Alex Song,Defensive Midfield,24,Arsenal,Premier League,FC Barcelona,LaLiga,2012-2013,19000000
Santi Cazorla,Central Midfield,27,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,19000000
Mousa Dembélé,Central Midfield,25,Fulham,Premier League,Spurs,Premier League,2012-2013,19000000
